ID,Orden_Doc,Detalle_Compra,Insumo_Descripcion,Unidad_Original,Cantidad_Original,Precio_Original,Total_Original,Unidad_Normalizado,Cantidad_Normalizado,Precio_Normalizado
15,1839.0,SERVICIO DE INSTALACION DE AGUA Y DESAGUE,AGUA,SRV.,1.0000,407.1000,407.1000,SRV.,1.0000,407.1000
74,,"CABLE ELECTRICO DE Cu N2XOH. 0.6/1 KV UNIPOLAR , 1-1X25 MM2 TB CABLEADO - INDECO",Cable Cu 1x25 mm2 desnudo,M.,32.0000,15.2500,488.0000,M.,32.0000,15.2500
96,,"CABLE ELECTRICO DE Cu N2XOH. 0.6/1 KV UNIPOLAR , 1-1X95 MM2 TB CABLEADO - INDECO",Cable N2XOH de 95 mm2,M.,88.0000,79.0000,6952.0000,M.,88.0000,79.0000
105,,CAJA DE PASO CON TAPA BISELADA DE FIERRO GALVANIZADO DE 150X150X100MM E/T 2023/CONSEJ,CAJA DE PASO BISELADA PESADA DE Fº Gº DE 150x150X100MM INCLUY TAPA,UND,35.0000,20.1000,703.5000,UND,35.0000,20.1000
108,,CAJA DE PASO CON TAPA BISELADA DE FIERRO GALVANIZADO DE 200X200X100MM E/T 2023/CONSEJ,CAJA DE PASO BISELADA PESADA DE Fº Gº DE 200x200X100MM INCLUY TAPA,UND,29.0000,31.9000,925.1000,UND,29.0000,31.9000
115,1536.0,CAJA DE PASO PESADA OCTOGONAL F°G° DE 100X50 MM,CAJA OCTOGONAL PESADA DE F°G° 100MM X 50MM,UND.,11.0000,25.9000,284.9000,UND.,11.0000,25.9000
132,,CASCO DE SEGURIDAD PARA PERSONAL OBRERO -BELL POWER,Casco de Seguridad Colores,UND.,15.0000,7.5000,112.5000,UND.,15.0000,7.5000
141,,CEMENTO PORTLAND TIPO IP X 42.50 (BLS)- FRONTERA DEV RI 5189,CEMENTO PORTLAND TIPO IP 42.5KG,KG,66.0000,0.0000,0.0000,BLS.,78,77.0000
194,,"CODO PVC SAL DE 4""-PLASTICA CODO PVC SAL DE 4""X 90°","CODO PVC SAL 4""x90°",UND.,40.0000,6.9900,279.6000,UND.,40.0000,6.9900
202,,"CODO CON ROSCA DE PVC SAP 2 1/2"" IN X90°-(S/ROSCA) PAVCO","CODO PVC SAP  90° X 2 1/2""",UND.,8.0000,10.5000,84.0000,UND.,8.0000,10.5000
226,,CONECTOR PVC SAP DE 65 MM NTP 399.006 PAVCO E/T 2023/2024 CONSEJO REGIONAL,Conector PVC SAP de 65 mm NTP-399.006,UND,24.0000,4.0000,96.0000,UND,24.0000,4.0000
227,,CONECTOR PARA TUBERIA ELECTRICA PVC CP DE 3 PULG. E/T 2023/CONSEJO,Conector PVC SAP de 80 mm NTP-399.006,UND,10.0000,10.0000,100.0000,UND,10.0000,10.0000
228,,CONECTOR DE PVC SAP DE 4 PULG. 0/C 4206 E/T 2023/CONSEJO REGINAL,CONECTOR PVC SAP P/INST. ELECT. DE 100MM,UND,17.0000,7.0000,119.0000,UND,17.0000,7.0000
232,,CONECTOR DE PVC SAP DE 1 PULG. PAVCO E/T 2023/CONSEJO,CONECTOR PVC SAP P/INST. ELECT. DE 25MM,UND,685.0000,1.3000,890.5000,UND,685.0000,1.3000
233,,CONECTOR PVC SAP P/INST.ELECT. DE 2.5MM DE 1 PULG. E/T 2023/CONSEJO,CONECTOR PVC SAP P/INST. ELECT. DE 25MM,UND,40.0000,2.8000,112.0000,UND,40.0000,2.8000
258,,"CURVA PVC SAP ELECTRICAS 3"" PULG. 80 MM NICOLL NACIONAL",Curva PVC SAP de 80 mm NTP-399.006,UND.,45.0000,6.0000,270.0000,UND.,45.0000,6.0000
265,3636.0,DETECTOR DE HUMO DIRECCIONABLE INCLUYE BASE,DETECTOR DE HUMO DIRECCIONABLE INCLUYE BASE,UND.,101.0000,220.0000,22220.0000,UND.,101.0000,220.0000
300,,FACE PLATE COLOR BLANCO-DIXON /SIMPLE SIMPLE CAT 6A,FACE PLATE SIMPLE,UND.,5.0000,5.9000,29.5000,UND.,5.0000,5.9000
312,,FRAGUA TIPO :POLVO PARA :PISO /PARED FINALIDAD: INTERIOR/EXTERIOR COLOR : GRIS CONTENIDO: 1 KG CELIMA /FRAG GR,FRAGUA PARA CERAMICO,UND.,7.0000,10.5000,73.5000,UND.,7.0000,10.5000
316,,FRAGUA TIPO :POLVO PARA :PISO /PARED FINALIDAD: INTERIOR/EXTERIOR COLOR : BLANCO CONTENIDO: 1 KG CELIMA /FRAG GR,FRAGUA PARA CERAMICO,UND.,2.0000,10.5000,21.0000,UND.,2.0000,10.5000
343,,GUANTES DE HILO CON REFUERZO PALMAR EN PUNTOS -ASTARA/ASTARA NYLON CON RECUBRIMIENTO DE LATEX CORRUGADO EN LA PALMA Y DEDOS,GUANTES DE SEGURIDAD,PAR,150.0000,2.9000,435.0000,PAR,150.0000,2.9000
477,,PEGAMENTO PARA PVC DE 1/4 GLN- OATEY/AZUL,PEGAMENTO PARA PVC,UND.,2.0000,77.9700,155.9400,UND.,2.0000,77.9700
480,,PEGAMENTOS TUBERIAS: CONTENIDO UN GALON UNIDAD G.F .:3 AÑOS OATEY 31021-OATEY,PEGAMENTO PARA PVC,GLN.,24.0000,208.8600,5012.6400,GLN.,24.0000,208.8600
505,,PINTURA ARQUITECTÓNICA : LATEX ACABADO:SATINADO PARA INTERIOR :EXTERIOR COLOR: PANTONE 7527 C DE I GLRENDIMIENTO: 26-30 m2 LAVABILIDAD : ALTA UNIDAD G.F.:1 AÑO CPP1004020001-CPP,PINTURA LATEX SATINADO INTERIORES,UND.,5.0000,94.5100,472.5500,UND.,5.0000,94.5100
535,,TUBERÍA METÁLICA FLEXIBLE 20MM-ENERLA /GH/PESADO,Prensaestopa Conduit 20 mm,M.,40.0000,8.5000,340.0000,M.,40.0000,8.5000
574,,REGISTRON CON ROSCA DE BRONCE DE 4 PULG.NECO E/T 2023/CONSEJO REGIONAL,"REGISTRO ROSCADO DE BRONCE Ø 4""",UND,15.0000,18.0000,270.0000,UND,15.0000,18.0000
